url,indexed,impressions,clicks,ctr,position
https://mysupermarketcompare.com/home-insurance/high-value-home-insurance,not_indexed,0,0,0,0
https://mysupermarketcompare.com/home-insurance/holiday-home-insurance,not_indexed,0,0,0,0
https://mysupermarketcompare.com/home-insurance/holiday-let-insurance,not_indexed,0,0,0,0
https://mysupermarketcompare.com/home-insurance/home-emergency-cover,not_indexed,0,0,0,0
https://mysupermarketcompare.com/home-insurance/how-much-does-home-insurance-cost,not_indexed,0,0,0,0
https://mysupermarketcompare.com/home-insurance/jewellery-and-valuables,not_indexed,0,0,0,0
https://mysupermarketcompare.com/home-insurance/listed-buildings,indexed,72,0,0,67.5
https://mysupermarketcompare.com/home-insurance/lodger-insurance,indexed,0,0,0,0
https://mysupermarketcompare.com/home-insurance/london,indexed,0,0,0,0
https://mysupermarketcompare.com/home-insurance/mistakes-when-moving-house,not_indexed,0,0,0,0
https://mysupermarketcompare.com/home-insurance/new-builds,not_indexed,0,0,0,0
https://mysupermarketcompare.com/home-insurance/non-standard-construction,not_indexed,0,0,0,0
https://mysupermarketcompare.com/home-insurance/over-50s,indexed,0,0,0,0
https://mysupermarketcompare.com/home-insurance/over-60s,not_indexed,0,0,0,0
https://mysupermarketcompare.com/home-insurance/providers,not_indexed,0,0,0,0
https://mysupermarketcompare.com/home-insurance/radon-in-homes,not_indexed,0,0,0,0
https://mysupermarketcompare.com/home-insurance/salary-to-buy,not_indexed,0,0,0,0
https://mysupermarketcompare.com/home-insurance/second-home-insurance,not_indexed,0,0,0,0
https://mysupermarketcompare.com/home-insurance/self-builds,not_indexed,0,0,0,0
https://mysupermarketcompare.com/home-insurance/shed-insurance,not_indexed,0,0,0,0
https://mysupermarketcompare.com/home-insurance/short-term-home-insurance,not_indexed,0,0,0,0
https://mysupermarketcompare.com/home-insurance/smart-home-insurance,not_indexed,0,0,0,0
https://mysupermarketcompare.com/home-insurance/student-insurance,not_indexed,0,0,0,0
